"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.365338333E-1,-1.464584264E0,-1.382669158E0,-7.327744689E0,7.599514675E0
6.466128334E-1,-1.452118293E0,-1.341149834E0,-6.578061476E0,6.868640564E0
6.566908333E-1,-1.142255770E0,-1.206479979E0,-5.639907299E0,5.879531999E0
6.667698334E-1,-6.961330967E-1,-9.690982264E-1,-4.517894443E0,4.672806743E0
6.768478333E-1,-3.708403569E-1,-6.417822039E-1,-2.926802160E0,3.019201526E0
6.869268334E-1,4.640759647E-2,-2.854335862E-1,-2.293418312E-1,3.690849126E-1
6.970048333E-1,8.354381125E-1,8.569237795E-1,2.541568297E0,2.809242712E0
7.070838333E-1,1.925965247E0,2.750891308E0,4.557262577E0,5.660864538E0
7.171618334E-1,2.452524558E0,4.134576420E0,7.891315706E0,9.240263116E0
7.272408333E-1,2.574515603E0,4.708673887E0,1.179963441E1,1.296268153E1
7.373188334E-1,3.202706539E0,4.732182618E0,1.526093348E1,1.629561205E1
7.473978333E-1,4.107922473E0,4.072495655E0,1.860156121E1,1.948020348E1
7.574758334E-1,4.824833796E0,3.521198528E0,2.099477162E1,2.182792467E1
7.675548333E-1,5.694620866E0,3.034691183E0,2.225104122E1,2.316779862E1
7.776328333E-1,6.870272570E0,2.888565755E0,2.266330267E1,2.385727866E1
7.877118334E-1,7.712225431E0,2.792758542E0,2.251200480E1,2.395972206E1
7.977898333E-1,7.649519305E0,2.497906553E0,2.179558054E1,2.323363971E1
8.078688334E-1,6.783859493E0,2.195329515E0,1.949553149E1,2.075851559E1
8.179468333E-1,5.533745252E0,1.726880418E0,1.656483450E1,1.754987734E1
8.280258334E-1,4.479479406E0,1.435620666E0,1.324074386E1,1.405147823E1
8.381038333E-1,3.418755310E0,1.280883459E0,9.845683218E0,1.050076323E1
8.481828333E-1,2.306880064E0,8.898482814E-1,6.830909114E0,7.264629716E0
8.582608334E-1,1.457775620E0,3.368686187E-1,3.889272568E0,4.167137066E0
8.683398333E-1,7.546900378E-1,1.691716433E-2,1.662915387E0,1.826234056E0
8.784178334E-1,8.884493351E-2,-1.519457459E-1,-1.213145220E-1,2.137712450E-1
8.884968333E-1,-4.692593752E-1,-3.552984577E-1,-1.648345295E0,1.750280997E0
8.985748334E-1,-3.143773037E-1,-4.420068187E-1,-2.708911516E0,2.762680712E0
9.086538333E-1,1.963079864E-1,-6.551846069E-1,-2.968676995E0,3.046448226E0
9.187318333E-1,-2.684195920E0,-8.935554162E-1,-4.626166751E0,5.422616327E0
9.288108333E-1,-2.595926353E0,-8.374391028E-1,-7.433552980E0,7.918197256E0
9.388888333E-1,-2.096893394E0,-1.343878145E0,-7.472321774E0,7.876456250E0
9.489682917E-1,-2.115277625E0,-1.803925670E0,-7.943030235E0,8.415478392E0
9.590462917E-1,-2.241180749E0,-2.255067302E0,-9.363228285E0,9.888289215E0
9.691252917E-1,-2.366536136E0,-2.748463837E0,-1.033419119E1,1.095217121E1
