"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.935405000E-1,-5.639108862E-1,-1.085211065E-1,-1.605147235E0,1.704778568E0
6.035665000E-1,-3.838020261E-1,-2.001779661E-2,-1.079373790E0,1.145754112E0
6.135925001E-1,-1.691828991E-1,5.951851577E-2,-5.514088082E-1,5.798422034E-1
6.236185001E-1,-3.924417257E-2,8.179341070E-2,-1.669415152E-1,1.899993069E-1
6.336455001E-1,7.993333831E-2,8.321523428E-2,6.657464325E-2,1.332152278E-1
6.436715000E-1,1.122406666E-1,8.736003309E-2,1.363646704E-1,1.970407723E-1
6.536975000E-1,7.036539316E-2,6.888348944E-2,2.913316727E-2,1.026886805E-1
6.637235001E-1,2.797571093E-2,6.205708444E-2,-2.501327759E-1,2.592298743E-1
6.737505001E-1,-1.444292964E-1,1.335658275E-1,-6.593946022E-1,6.881140119E-1
6.837765001E-1,-3.438867393E-1,2.024270245E-1,-1.146520291E0,1.213978405E0
6.938025000E-1,-4.956192081E-1,2.145611664E-1,-1.659077275E0,1.744767118E0
7.038285000E-1,-6.305459020E-1,2.715236449E-1,-2.167462855E0,2.273589332E0
7.138545001E-1,-7.775038268E-1,3.359862008E-1,-2.693060884E0,2.823114566E0
7.238815001E-1,-8.940243629E-1,3.218086763E-1,-3.298790326E0,3.432908096E0
7.339075000E-1,-9.599718922E-1,2.590138194E-1,-3.884779567E0,4.010005795E0
7.439335000E-1,-9.624097426E-1,1.976937765E-1,-4.386915643E0,4.495591641E0
7.539595000E-1,-9.213231124E-1,9.314563371E-2,-4.777742368E0,4.866655373E0
7.639865001E-1,-8.282240371E-1,3.095311314E-2,-4.960350913E0,5.029114667E0
7.740125001E-1,-6.906598105E-1,1.147873483E-1,-4.896777061E0,4.946575855E0
7.840385000E-1,-5.330574681E-1,2.218459200E-1,-4.574511278E0,4.610804627E0
7.940645000E-1,-3.720157935E-1,2.013292097E-1,-4.135031626E0,4.156611090E0
8.040915000E-1,-2.760587454E-1,7.374186784E-2,-3.615804724E0,3.627077349E0
8.141175001E-1,-2.516540752E-1,-3.041370749E-2,-3.033232595E0,3.043805963E0
8.241435001E-1,-2.150832497E-1,-8.589435540E-2,-2.622322438E0,2.632529889E0
8.341695000E-1,-1.267385454E-1,-1.437364013E-1,-2.336701156E0,2.344545821E0
8.441965000E-1,-3.607264280E-2,-2.183259693E-1,-2.026132729E0,2.038180880E0
8.542225000E-1,-7.066491678E-2,-2.925397805E-1,-1.619172367E0,1.646903825E0
8.642485001E-1,-1.429208609E-1,-4.209409817E-1,-9.728047764E-1,1.069563844E0
8.742745001E-1,-2.129488698E-1,-6.069777491E-1,9.848699212E-2,6.507448783E-1
8.843015000E-1,-3.589573529E-1,-8.452977607E-1,1.240665725E0,1.543577056E0
8.943275000E-1,-5.694210099E-1,-1.231664960E0,2.379000499E0,2.738773856E0
9.043535000E-1,-8.073186332E-1,-1.646908634E0,3.263588333E0,3.743672025E0
9.143795001E-1,-8.744081238E-1,-1.897639873E0,3.590619012E0,4.154295553E0
9.244065001E-1,-8.091970512E-1,-1.859782075E0,3.464509188E0,4.014525270E0
9.344325000E-1,-6.275106123E-1,-1.521420077E0,3.282785912E0,3.672216219E0
9.444585000E-1,-3.514204381E-1,-9.714444948E-1,3.420135838E0,3.572748225E0
9.544845000E-1,6.304234028E-2,-4.077098291E-1,4.053041384E0,4.073984057E0
9.645105001E-1,5.519778885E-1,4.270718604E-2,5.122739786E0,5.152568913E0
9.745375001E-1,1.221582899E0,3.660891288E-1,6.216353885E0,6.345812923E0
9.845635000E-1,1.767936058E0,4.739580515E-1,7.141816680E0,7.372637223E0
9.945895000E-1,2.070270583E0,3.522477461E-1,7.851938801E0,8.127917427E0
1.004615500E0,2.216729740E0,1.907537162E-2,8.477430663E0,8.762481683E0
1.014642500E0,2.064378782E0,-3.382065348E-1,8.919198915E0,9.161230960E0
1.024668500E0,1.909749164E0,-4.576103329E-1,9.091850236E0,9.301520833E0
1.034694500E0,1.789046699E0,-5.029630186E-1,8.936017261E0,9.127215588E0
1.044720500E0,1.639975591E0,-4.595838413E-1,8.396493503E0,8.567487403E0
1.054747500E0,1.534880075E0,-3.748448226E-1,7.575163772E0,7.738182711E0
1.064773500E0,1.487468804E0,-3.387389968E-1,6.615090723E0,6.788721001E0
1.074799500E0,1.364268994E0,-2.664176369E-1,5.763273025E0,5.928534743E0
1.084825500E0,1.199028945E0,-7.924022399E-2,4.979970660E0,5.122895392E0
1.094852500E0,1.109996682E0,1.781150327E-1,4.323141816E0,4.466919829E0
1.104878500E0,9.614228788E-1,4.352430154E-1,3.904330902E0,4.044449311E0
1.114904500E0,6.798235311E-1,6.288722827E-1,3.604008551E0,3.721090971E0
1.124930500E0,3.698931080E-1,6.822154078E-1,3.202884294E0,3.295558614E0
1.134957500E0,2.204338905E-1,6.419938000E-1,2.588788072E0,2.676297969E0
1.144983500E0,1.253653999E-1,5.217929899E-1,1.825808875E0,1.903040319E0
1.155009500E0,4.120094329E-2,4.159065291E-1,1.077324341E0,1.155553328E0
1.165035500E0,-2.155130200E-2,3.616947269E-1,4.173111033E-1,5.526627282E-1
1.175061500E0,-1.590534020E-1,3.927788177E-1,-2.319549519E-1,4.830903477E-1
1.185088500E0,-3.046110649E-1,5.248670539E-1,-9.281782418E-1,1.108958148E0
1.195114500E0,-3.261992774E-1,6.737099017E-1,-1.611604316E0,1.776952298E0
1.205140500E0,-2.432005363E-1,8.298071708E-1,-2.453886375E0,2.601784922E0
1.215166500E0,-1.339577372E-1,9.396909709E-1,-3.321800289E0,3.454753385E0
1.225193500E0,-5.471115433E-2,9.415657344E-1,-4.006360137E0,4.115879116E0
1.235219500E0,-1.243561705E-1,8.363548829E-1,-4.501387169E0,4.580113578E0
1.245245500E0,-3.264934655E-1,6.962632703E-1,-4.885253953E0,4.945410671E0
1.255271500E0,-5.134136740E-1,5.830699826E-1,-5.178039828E0,5.235996626E0
1.265298500E0,-4.416316467E-1,4.289691357E-1,-5.195500783E0,5.231852580E0
1.275324500E0,-4.784659624E-1,3.372448505E-1,-5.031945391E0,5.065879803E0
1.285350500E0,-5.047969247E-1,3.602413284E-1,-4.904213549E0,4.943268584E0
1.295376500E0,-4.942031586E-1,4.202025515E-1,-4.769980774E0,4.813888608E0
1.305403500E0,-4.567932576E-1,4.728346552E-1,-4.492151492E0,4.540006356E0
1.315429500E0,-4.580712397E-1,4.739837793E-1,-3.814400725E0,3.870935646E0
1.325455500E0,-4.963592463E-1,4.348382054E-1,-2.970021855E0,3.042447466E0
1.335481500E0,-4.231688440E-1,3.891230289E-1,-2.244797544E0,2.317240734E0
1.345508500E0,-3.112173222E-1,3.300827057E-1,-1.812416997E0,1.868332461E0
1.355534500E0,-1.647431814E-1,2.863171188E-1,-1.504095654E0,1.539942059E0
1.365560500E0,-4.917888433E-2,2.286901956E-1,-1.203546431E0,1.226067608E0
1.375586500E0,-4.712198004E-3,1.493957387E-1,-8.028911215E-1,8.166856461E-1
1.385613500E0,7.679301806E-2,-8.935185056E-3,-2.499865955E-1,2.616683074E-1
1.395639500E0,1.305914220E-1,-1.282747552E-1,1.846965855E-1,2.600410757E-1
1.405665500E0,1.863259122E-1,-1.055567875E-1,2.548339373E-1,3.328662142E-1
1.415691500E0,1.970219314E-1,-3.896792818E-2,1.408366209E-1,2.452979712E-1
1.425718500E0,2.458653317E-1,5.312718015E-2,-7.553199291E-2,2.626353757E-1
1.435744500E0,3.206186948E-1,1.769061026E-1,-2.515659285E-1,4.442719133E-1
1.445770500E0,3.321728660E-1,2.969862957E-1,-2.418121880E-1,5.069643055E-1
1.455796500E0,2.818129172E-1,3.205768141E-1,-1.126647359E-1,4.414536859E-1
1.465822500E0,1.744620578E-1,2.741584917E-1,-4.346820116E-3,3.249904353E-1
1.475849500E0,1.193723693E-1,2.147436178E-1,3.515872300E-2,2.481949229E-1
1.485875500E0,1.617133735E-1,1.824541783E-1,1.129073954E-1,2.686797765E-1
1.495901500E0,2.160603194E-1,7.937470995E-2,9.259416819E-2,2.481049902E-1
1.505928500E0,1.672381152E-1,-4.843588594E-2,-6.281839192E-2,1.850966574E-1
1.515954500E0,1.009635803E-1,-1.629731561E-1,-2.202698761E-1,2.920149183E-1
1.525980500E0,2.525982544E-2,-2.125215845E-1,-3.555528116E-1,4.149955235E-1
1.536006500E0,-6.207550317E-3,-2.015573973E-1,-5.884474111E-1,6.220404116E-1
1.546032500E0,-2.603180408E-3,-1.368939165E-1,-9.236881649E-1,9.337807810E-1
1.556059500E0,-9.312714189E-3,-3.188559785E-2,-1.211008063E0,1.211463556E0
1.566085500E0,-1.511212885E-2,1.008268286E-1,-1.304150700E0,1.308129762E0
1.576111500E0,-6.153653607E-2,2.310954477E-1,-1.230338373E0,1.253365216E0
1.586137500E0,-2.289965531E-1,2.761992978E-1,-1.071550800E0,1.130020615E0
1.596164542E0,-4.125891843E-1,2.341965185E-1,-8.159333360E-1,9.438352892E-1
1.606190542E0,-5.220654336E-1,1.231775911E-1,-4.890646255E-1,7.258851450E-1
1.616216542E0,-6.784522860E-1,-4.419384062E-2,-3.192018414E-1,7.510928141E-1
1.626242542E0,-8.177361788E-1,-1.952250455E-1,-2.765908420E-1,8.850467617E-1
1.636269542E0,-9.175971204E-1,-2.861533419E-1,-3.041628027E-1,1.008158331E0
1.646295542E0,-9.449559501E-1,-3.328100298E-1,-4.058645940E-1,1.080939560E0
1.656321542E0,-9.089974742E-1,-3.347858405E-1,-6.481445593E-1,1.165525348E0
1.666347542E0,-8.775910556E-1,-2.557544352E-1,-9.765861708E-1,1.337646045E0
1.676374542E0,-8.126192804E-1,-7.529927373E-2,-1.302787714E0,1.537294996E0
1.686400542E0,-7.116960458E-1,1.085294388E-1,-1.666014996E0,1.814909328E0
1.696426542E0,-5.891443992E-1,2.833655722E-1,-2.012554325E0,2.116072324E0
1.706452542E0,-4.406720455E-1,4.702304150E-1,-2.325911874E0,2.413539836E0
1.716479542E0,-3.528790261E-1,6.208952187E-1,-2.618137586E0,2.713794189E0
1.726505542E0,-3.024554157E-1,6.521702942E-1,-2.876734791E0,2.965199560E0
1.736531542E0,-3.159159985E-1,6.035743041E-1,-3.171773599E0,3.244110451E0
1.746557542E0,-3.006600282E-1,6.109069318E-1,-3.512989038E0,3.578364949E0
1.756584542E0,-2.931647748E-1,5.928411916E-1,-3.710078797E0,3.768566165E0
1.766610542E0,-3.511619912E-1,4.993190338E-1,-3.812587504E0,3.861147202E0
1.776636542E0,-3.845617256E-1,3.413661508E-1,-4.058373460E0,4.090820664E0
1.786662542E0,-5.302228841E-1,1.723992332E-1,-4.215418562E0,4.252130226E0
1.796689542E0,-4.007194097E-1,3.128207384E-1,-4.151451777E0,4.182461562E0
1.806715542E0,-3.577419361E-1,2.028068011E-1,-3.969033852E0,3.990280643E0
1.816741542E0,-2.854886962E-1,-2.071531096E-1,-4.013580864E0,4.029050454E0
1.826767542E0,-2.031821193E-1,-4.370763002E-1,-4.313128459E0,4.339976472E0
1.836794542E0,-4.485633016E-2,-4.054981928E-1,-4.492618684E0,4.511104467E0
1.846820542E0,1.065812927E-1,-3.504676709E-1,-4.056703495E0,4.073208858E0
1.856846542E0,-1.081157483E-1,-2.892430838E-1,-3.250522730E0,3.265156749E0
1.866872542E0,-3.264040761E-1,-3.264059765E-1,-1.936930531E0,1.991175623E0
1.876899542E0,-3.651740395E-1,-3.493331283E-1,-5.540394706E-1,7.498969587E-1
1.886925542E0,-4.180973346E-1,-4.079103886E-1,5.558456755E-1,8.063254189E-1
1.896951542E0,-4.024596872E-1,-5.985219444E-1,1.417767947E0,1.590681700E0
1.906977542E0,-1.677473346E-1,-7.764186566E-1,2.224876665E0,2.362422755E0
1.917004542E0,2.463871226E-1,-7.476466280E-1,3.065777612E0,3.165228975E0
1.927030542E0,6.169458631E-1,-6.981245121E-1,3.815395921E0,3.927498704E0
1.937056542E0,9.286417799E-1,-6.037466508E-1,5.166726635E0,5.284122415E0
1.947082542E0,1.115009646E0,-3.371929199E-1,6.836137109E0,6.934674913E0
1.957109542E0,1.132200533E0,-1.379002954E-1,8.220294676E0,8.299044469E0
1.967135542E0,1.136275896E0,-8.150346190E-2,9.066838186E0,9.138124557E0
1.977161542E0,9.641996484E-1,-2.025555901E-1,9.303440505E0,9.355464444E0
1.987187542E0,9.877927250E-1,-3.396621260E-1,9.118428755E0,9.178063401E0
1.997214542E0,1.059671743E0,-3.367036542E-1,8.768676966E0,8.838889596E0
2.007240542E0,1.028239304E0,-2.480887355E-1,8.404888936E0,8.471185402E0
2.017266542E0,1.070543617E0,-2.258477544E-1,8.272199825E0,8.344241175E0
2.027292542E0,1.265382783E0,-3.112660003E-1,8.055758706E0,8.160473542E0
2.037318542E0,1.327477728E0,-4.169975464E-1,7.803607471E0,7.926687431E0
2.047345542E0,1.366834314E0,-5.309073738E-1,7.668247937E0,7.807184198E0
2.057371542E0,1.468683747E0,-7.127337074E-1,7.403255632E0,7.581109103E0
2.067397542E0,1.520288934E0,-8.237039933E-1,7.146345933E0,7.352552408E0
2.077423542E0,1.483176656E0,-8.550279661E-1,7.002537757E0,7.208773880E0
2.087450542E0,1.390331934E0,-8.514639419E-1,6.663765870E0,6.860305336E0
2.097476542E0,1.291169881E0,-8.305037203E-1,5.977747725E0,6.171735895E0
2.107502542E0,1.176667658E0,-7.417084882E-1,5.182755607E0,5.366156347E0
2.117528542E0,1.046046050E0,-6.156248309E-1,4.391158383E0,4.555818062E0
2.127555542E0,9.702896697E-1,-5.306471727E-1,3.483267640E0,3.654613785E0
2.137581542E0,8.773775592E-1,-3.050854568E-1,2.552979723E0,2.716721183E0
2.147607542E0,8.520178194E-1,2.073757058E-2,1.830071495E0,2.018793226E0
2.157633542E0,8.992757472E-1,3.607579299E-1,1.056763777E0,1.433733878E0
2.167660542E0,8.900770538E-1,6.574520840E-1,6.628754497E-2,1.108546094E0
2.177686542E0,7.706753021E-1,9.276908033E-1,-1.009083241E0,1.572513795E0
2.187712542E0,5.572346815E-1,1.088329678E0,-2.015068043E0,2.357004708E0
2.197738542E0,4.293296166E-1,1.130070100E0,-2.891808913E0,3.134316695E0
2.207765542E0,3.378755093E-1,1.183470601E0,-3.688810719E0,3.888712775E0
2.217791542E0,2.706673933E-1,1.211335215E0,-4.378527812E0,4.551054784E0
2.227817542E0,2.040122777E-1,1.105592851E0,-4.882925007E0,5.010679912E0
2.237843542E0,6.452161275E-2,9.678301115E-1,-5.124870511E0,5.215856202E0
2.247870542E0,-7.998815596E-2,8.286540268E-1,-5.235612098E0,5.301386577E0
2.257896542E0,-2.480980179E-1,6.786973574E-1,-5.323577026E0,5.372397517E0
2.267922542E0,-5.287559639E-1,4.783307821E-1,-5.343296176E0,5.390658330E0
2.277948542E0,-8.321023491E-1,3.101915744E-1,-5.349032879E0,5.422247308E0
2.287975542E0,-1.147544065E0,2.453566971E-1,-5.327289423E0,5.455004114E0
2.298001542E0,-1.410960911E0,2.612852800E-1,-5.124679307E0,5.321787171E0
2.308027542E0,-1.558965341E0,2.867994227E-1,-4.747478349E0,5.005115136E0
2.318053542E0,-1.617350374E0,3.240257577E-1,-4.379720644E0,4.680039300E0
2.328080542E0,-1.516146474E0,4.321908054E-1,-3.981693074E0,4.282448920E0
2.338106542E0,-1.372535349E0,4.759894108E-1,-3.634385421E0,3.913971971E0
2.348132542E0,-1.258088235E0,3.947439207E-1,-3.329031540E0,3.580650746E0
2.358158542E0,-1.141310568E0,1.944718693E-1,-3.159893226E0,3.365313406E0
2.368185542E0,-1.067167727E0,-7.957946300E-3,-3.025454628E0,3.208159285E0
2.378211542E0,-1.024199317E0,-1.767813193E-1,-2.737271097E0,2.927949612E0
2.388237542E0,-9.456239945E-1,-2.830902415E-1,-2.369252021E0,2.566651508E0
2.398263542E0,-9.717613408E-1,-3.580454066E-1,-1.827901593E0,2.100890490E0
2.408290542E0,-9.411323096E-1,-3.639019047E-1,-1.038748505E0,1.448155060E0
2.418316542E0,-8.423509102E-1,-2.458459263E-1,-7.582552314E-2,8.807637511E-1
2.428342542E0,-7.052923214E-1,-9.534023993E-2,1.022997276E0,1.246214446E0
2.438368542E0,-6.165358271E-1,6.475723727E-2,2.057069762E0,2.148451985E0
2.448395542E0,-5.209413064E-1,3.222174332E-1,2.765228974E0,2.832259733E0
2.458421542E0,-4.135659617E-1,6.056615409E-1,3.256772234E0,3.338327139E0
2.468447542E0,-4.048444010E-1,8.642205200E-1,3.289472787E0,3.425114205E0
2.478473542E0,-4.540342489E-1,1.078211802E0,2.591279570E0,2.843135171E0
2.488500542E0,-5.142605701E-1,1.204137950E0,1.484328557E0,1.979303767E0
2.498526542E0,-5.192147698E-1,1.232838204E0,3.606299490E-1,1.385470308E0
2.508552542E0,-5.318291143E-1,1.179889547E0,-5.377836263E-1,1.401496621E0
2.518578542E0,-4.873082681E-1,1.113181295E0,-1.206095232E0,1.712106204E0
2.528605542E0,-4.313964611E-1,1.011468613E0,-1.656189335E0,1.987997680E0
2.538631542E0,-4.550961033E-1,8.454922537E-1,-1.967981585E0,2.189730835E0
2.548657542E0,-5.211490287E-1,6.607211161E-1,-2.165446735E0,2.323210767E0
2.558683542E0,-5.991083470E-1,4.436825210E-1,-2.182479089E0,2.306295724E0
2.568710542E0,-7.202992004E-1,2.823674525E-1,-2.072821577E0,2.212498950E0
2.578736542E0,-7.808573511E-1,1.754882441E-1,-1.909769629E0,2.070689345E0
2.588762542E0,-8.066143361E-1,9.798911998E-2,-1.827844291E0,2.000310802E0
2.598789125E0,-8.771507603E-1,2.120045079E-2,-1.847024912E0,2.044833475E0
2.608816125E0,-8.522669108E-1,-4.277143233E-2,-1.969799484E0,2.146694736E0
2.618842125E0,-7.567377327E-1,-7.781343028E-2,-2.070681496E0,2.205998364E0
2.628868125E0,-6.686640470E-1,-1.021382128E-1,-2.032864628E0,2.142447764E0
2.638894125E0,-6.477589354E-1,-1.165544134E-1,-2.048281397E0,2.151425865E0
2.648921125E0,-6.050271910E-1,-1.255993617E-1,-2.218293870E0,2.302750702E0
2.658947125E0,-5.008477883E-1,-3.036089983E-2,-2.411915061E0,2.463555267E0
2.668973125E0,-4.600497182E-1,9.686815392E-2,-2.463253030E0,2.507717024E0
2.678999125E0,-5.430927520E-1,2.550960753E-1,-2.420058478E0,2.493332465E0
2.689026125E0,-6.335750520E-1,4.068281420E-1,-2.550996348E0,2.659794889E0
2.699052125E0,-7.018025570E-1,4.719063732E-1,-2.837157912E0,2.960521487E0
2.709078125E0,-6.916985683E-1,6.150523154E-1,-3.277166153E0,3.405371382E0
2.719104125E0,-6.634666032E-1,7.476574454E-1,-3.815011175E0,3.943791304E0
2.729131125E0,-5.891138475E-1,7.975675240E-1,-4.230112615E0,4.344769478E0
2.739157125E0,-3.728380582E-1,7.687182391E-1,-4.437815655E0,4.519307883E0
2.749183125E0,-1.689016481E-1,5.919213150E-1,-4.514214206E0,4.555988203E0
2.759209125E0,2.871816114E-2,3.842586936E-1,-4.401047194E0,4.417883643E0
2.769236125E0,7.251146749E-2,1.916553569E-1,-4.174662884E0,4.179688970E0
2.779262125E0,-7.672292456E-2,-1.170405728E-1,-3.630687642E0,3.633383775E0
2.789288125E0,-2.196173269E-1,-4.335730141E-1,-2.560938368E0,2.606649699E0
2.799314125E0,-5.163646907E-2,-5.074910293E-1,-1.078801932E0,1.193326057E0
2.809341125E0,2.999276644E-1,-4.116356497E-1,5.461363739E-1,7.467700120E-1
2.819367125E0,5.732968368E-1,-2.279959483E-1,2.067901145E0,2.157977423E0
2.829393125E0,7.375126724E-1,1.276023254E-2,3.101887093E0,3.188383807E0
2.839419125E0,8.310885881E-1,2.464421596E-1,3.360396590E0,3.470404475E0
2.849446125E0,9.947780281E-1,3.430016170E-1,3.320372983E0,3.483117882E0
2.859472125E0,9.869784272E-1,1.820953055E-1,3.566861774E0,3.705372860E0
2.869498125E0,7.145802581E-1,-6.661798574E-2,3.741545588E0,3.809754098E0
2.879524125E0,4.078186604E-1,-3.572884114E-1,3.853365986E0,3.891323745E0
2.889551125E0,1.471142647E-1,-5.630938109E-1,4.261196998E0,4.300757736E0
2.899577125E0,-2.018400371E-2,-6.595632944E-1,4.814858739E0,4.859865822E0
2.909603125E0,-9.964243848E-2,-8.125711870E-1,5.613509459E0,5.672890709E0
2.919629125E0,-2.059032673E-1,-9.726197851E-1,6.632194414E0,6.706294666E0
2.929656125E0,-1.800162183E-1,-1.212450206E0,8.018965686E0,8.112105276E0
2.939682125E0,1.595987280E-1,-1.409621022E0,9.591311211E0,9.695656446E0
2.949708125E0,5.364498033E-1,-1.587183127E0,1.014932562E1,1.028667775E1
2.959734125E0,6.432619149E-1,-1.733671667E0,9.804366208E0,9.977224067E0
2.969761125E0,6.539505520E-1,-1.785769481E0,9.509509833E0,9.697803939E0
2.979787125E0,8.303675533E-1,-1.544138264E0,9.191237699E0,9.356961243E0
2.989813125E0,1.196750285E0,-1.253308868E0,8.596004595E0,8.768938895E0
2.999839125E0,1.659483949E0,-1.001318358E0,7.752899247E0,7.991493738E0
3.009866125E0,2.053758776E0,-7.052632315E-1,6.884334539E0,7.218682939E0
