"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.219952501E-1,-3.512945184E0,-2.210352767E-1,-9.845293209E-2,3.521268725E0
6.320212501E-1,-2.338790367E0,-6.346146870E-1,-4.547693901E-1,2.465662462E0
6.420482501E-1,-2.366964591E-1,-1.399419385E0,-7.692162757E-1,1.614339960E0
6.520742500E-1,9.538866949E-1,-2.575588567E0,-7.723306489E-1,2.853077448E0
6.621002500E-1,1.727983788E0,-4.235138297E0,1.516239152E0,4.818848984E0
6.721262501E-1,2.999504101E0,-4.808754830E0,3.057288040E0,6.439577473E0
6.821532501E-1,3.644565423E0,-4.285690985E0,2.784393808E0,6.277169204E0
6.921792501E-1,4.007308556E0,-3.852468438E0,1.424685934E0,5.738446213E0
7.022052500E-1,4.694459306E0,-3.606722828E0,1.354839628E0,6.073054269E0
7.122312500E-1,5.143634226E0,-3.903174908E0,8.171146198E-1,6.508411766E0
7.222572501E-1,4.879476904E0,-4.348225787E0,-7.195090954E-1,6.575260883E0
7.322842501E-1,4.475356534E0,-4.523748091E0,-1.697542744E0,6.585952039E0
7.423102501E-1,4.315835720E0,-4.462004417E0,-1.880069282E0,6.486183923E0
7.523362500E-1,4.347135866E0,-4.072212065E0,-1.670955309E0,6.186484703E0
7.623622500E-1,4.576629725E0,-3.613674583E0,-1.043843769E0,5.924001472E0
7.723892501E-1,4.658609442E0,-3.310613980E0,-3.194298828E-1,5.724058203E0
7.824152501E-1,4.495249931E0,-3.303404363E0,9.829169512E-2,5.579373942E0
7.924412501E-1,4.655566551E0,-3.475558087E0,4.822328849E-1,5.829781512E0
8.024672500E-1,4.892343702E0,-3.639851983E0,7.120191045E-1,6.139260587E0
8.124932500E-1,4.857975522E0,-3.877109190E0,8.486708001E-1,6.273128723E0
8.225202501E-1,5.034731589E0,-4.283606452E0,1.005915366E0,6.686529155E0
8.325462501E-1,5.502212387E0,-4.439402590E0,1.208646519E0,7.172409840E0
8.425722501E-1,5.930302248E0,-4.477472641E0,1.361688033E0,7.554498018E0
8.525982500E-1,5.877270926E0,-4.590756013E0,1.327165926E0,7.574874500E0
8.626252500E-1,5.418821152E0,-4.816278443E0,1.011726183E0,7.320092252E0
8.726512501E-1,4.830044543E0,-4.991344664E0,7.299336576E-1,6.983956972E0
8.826772501E-1,4.370936957E0,-5.095637357E0,5.971761346E-1,6.739972499E0
8.927032501E-1,4.036670934E0,-5.121123616E0,7.627191420E-1,6.565238747E0
9.027302500E-1,3.571277007E0,-5.006304765E0,9.662465394E-1,6.225009176E0
9.127562500E-1,2.856741407E0,-4.810244701E0,1.161704925E0,5.713928936E0
9.227822501E-1,2.056521294E0,-3.934690230E0,1.269125440E0,4.617547663E0
9.328082501E-1,1.531927232E0,-2.563466120E0,1.135973960E0,3.195089424E0
9.428342500E-1,1.017245370E0,-1.024495332E0,9.442542842E-1,1.725107238E0
9.528612500E-1,8.926412040E-1,6.804521799E-2,1.369670506E0,1.636287189E0
9.628872500E-1,1.454047582E0,-6.626298666E-2,1.775275191E0,2.295701887E0
9.729132501E-1,9.569149679E-1,-8.619544315E-1,6.655356404E-1,1.449685961E0
9.829392501E-1,-1.767666501E0,-1.364117405E0,-1.021802397E0,2.455512430E0
9.929662501E-1,-3.445354879E0,-1.902333725E0,-2.880321766E0,4.877048013E0
1.002992250E0,-3.159595018E0,-1.619339597E0,-3.785229551E0,5.189726791E0
1.013018250E0,-3.135221484E0,-1.414956021E-1,-4.462513417E0,5.455608193E0
1.023044250E0,-4.982943385E0,2.043110120E0,-4.419093163E0,6.966520518E0
1.033070250E0,-5.893018647E0,4.276840054E0,-3.040422623E0,7.890703350E0
1.043097250E0,-5.704110312E0,5.532779877E0,-1.707948011E0,8.128075665E0
1.053123250E0,-4.935210224E0,5.655219403E0,-1.878181508E0,7.737271627E0
1.063149250E0,-4.834589583E0,5.576113007E0,-2.766827018E0,7.881727251E0
1.073175250E0,-5.301423680E0,5.480024543E0,-3.282374852E0,8.301189474E0
1.083202250E0,-5.791398717E0,5.736754147E0,-3.584539077E0,8.905030468E0
1.093228250E0,-4.076068304E0,5.168048691E0,-2.998033526E0,7.232652702E0
1.103254250E0,-4.026528354E0,4.985878687E0,-2.886838195E0,7.028922508E0
1.113280250E0,-4.232348006E0,4.856291524E0,-3.310330390E0,7.242556476E0
1.123307250E0,-3.795645781E0,4.451320969E0,-3.542284173E0,6.838783695E0
1.133333250E0,-1.826867806E0,4.038442640E0,-2.900613066E0,5.297171047E0
1.143359250E0,-1.659919274E-1,3.572458729E0,-2.913027582E0,4.612563754E0
1.153385250E0,-8.704299706E-1,3.226850277E0,-3.637796979E0,4.940018006E0
