"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.236665833E-1,1.704543470E0,-9.189267772E-1,1.308072574E0,2.336867288E0
6.336925833E-1,2.166157756E0,-1.014107754E0,9.989937244E-1,2.592034418E0
6.437195833E-1,2.647684736E0,-1.170091002E0,5.686488850E-1,2.950035418E0
6.537455833E-1,3.036285426E0,-1.446817499E0,2.180324391E-2,3.363448446E0
6.637725833E-1,3.404102772E0,-1.793105398E0,-4.047748192E-1,3.868718820E0
6.737995833E-1,3.742708599E0,-2.061092062E0,-7.204570752E-1,4.333015871E0
6.838255833E-1,4.000392469E0,-2.165417499E0,-8.817579277E-1,4.633537514E0
6.938525833E-1,4.060855018E0,-2.179967710E0,-9.782714845E-1,4.711668260E0
7.038795833E-1,3.933701466E0,-2.180868182E0,-1.022701991E0,4.612603670E0
7.139055833E-1,3.580523794E0,-2.124066575E0,-9.851238365E-1,4.278116224E0
7.239325833E-1,3.046438531E0,-2.175082946E0,-8.868629855E-1,3.846855795E0
7.339595833E-1,2.341478916E0,-2.198292884E0,-6.578130765E-1,3.278373555E0
7.439855833E-1,1.675114433E0,-2.214128898E0,-4.168621834E-1,2.807516558E0
7.540125833E-1,1.220932542E0,-2.286613322E0,-1.989028345E-1,2.599776740E0
7.640395833E-1,7.942465979E-1,-2.309146737E0,-3.726138175E-2,2.442206937E0
7.740655833E-1,4.924963564E-1,-2.232308477E0,-8.877535164E-4,2.285990941E0
7.840925833E-1,2.232075173E-1,-2.052720603E0,-3.898324057E-2,2.065188409E0
7.941195833E-1,8.346432567E-2,-1.812700587E0,-2.085982490E-1,1.826571362E0
8.041455833E-1,-2.616687477E-2,-1.576677142E0,-5.193806845E-1,1.660226434E0
8.141725833E-1,-1.377153772E-1,-1.439297395E0,-9.003871568E-1,1.703302542E0
8.241985833E-1,-1.651165992E-1,-1.422432856E0,-1.229661997E0,1.887497642E0
8.342255833E-1,-2.275040513E-1,-1.386527444E0,-1.462099344E0,2.027794599E0
